totalItems,note_0,Adresas,Įmonės kodas,PVM kodas,Telefonas,El. paštas,note_1,link,note_6
61236,"Linarda, UAB","Lauko g. 17, Trakiškiai, Marijampolė",302664743,LT100007654111,+37068188968,linarda331@gmail.com,Darbo laikas,https://rrr.lt/linarda,
60208,Automagnatas UAB,"Žagarėlės g. 7, Mažeikiai",167236090,LT100006667511,+37067886852,automagnatas@gmail.com,Darbo laikas,https://rrr.lt/mazeikiaiautomagnatas,
59990,"Erneta, UAB","Keravos g. 8B, Kerava",303328489,LT100009203817,+37061450514,ernetaex@gmail.com,Darbo laikas,https://rrr.lt/erneta,
58183,"Interno grupė, UAB","Žirgyno g. 5, 59285, Tarpiškės",304478488,LT100010884312,+37063668857,darius.lazutka@gmail.com,,https://rrr.lt/internogrupe,Darbo laikas
55386,"Boso dalys, UAB","Sereikių 17, Sereikiai",304996096,LT100012138719,+37061699913,Bosodalys1@gmail.com,,https://rrr.lt/bosodalys,Darbo laikas
54287,"Autodova, UAB","Bičiulių g. 15, Budrikiai, Klaipėdos r. sav.",152590254,LT525902515,+37067029323,info@autodova.lt,Darbo laikas,https://rrr.lt/autodova,
53813,"Pabaltijo automobilių prekyba, UAB","Švenčionių g. 2c, Kaunas",300044291,LT100001158219,+37067367679,mindaugas@pap.lt,Darbo laikas,https://rrr.lt/partan,
53296,L.Smilingienės I.Į.,"Medelyno g. 46,, Klaipėdos m. sav.",141316978,LT413169716,+37069835013,algiss13@inbox.lt,Darbo laikas,https://rrr.lt/smilingiene,
51708,Laimono Grybausko IV,"Stoties g. 28, Utena",194860,LT100012470913,+37060360402,volvodalysutena@gmail.com,Darbo laikas,https://rrr.lt/laimonoiv,
51580,"UAB ""Jumita""","V. Krėvės pr. 129H, Kaunas",134494667,LT344946610,+37068933440,jumitalt@gmail.com,Darbo laikas,https://rrr.lt/jumita,
51440,"UAB ""DnD autolaužynas""","Paberžių k. 9a, Pasvalio r. sav.",302964502,LT100008796914,+37060408492,d.rutkauskas83@gmail.com,Darbo laikas,https://rrr.lt/dnd,
50740,"Transadria, UAB","Cirulių g. 7, Kvietiniai , Klaipėdos r. sav.",302430174,LT100004889512,+37063927569,autodalys@transadria.lt,Darbo laikas,https://rrr.lt/transadria,
49345,"Gedvauta, UAB","Minsko plentas 33A - 8 Angaras, Vilnius",125922097,LT259220917,+37068789759,info@gedvauta.lt,Darbo laikas,https://rrr.lt/gedvauta,
48785,"Želsvelė, UAB","Klojimo g. 3, Eigirgalos, Kauno r",303170548,LT100008109410,+37066022220,info@kurdalys.lt,Darbo laikas,https://rrr.lt/kurdalys,
48639,"Autoprioritetas, Į.I","Verslininkų g. 25, Taurai",303249102,LT100008787219,+37061263713,info@autoprioritetas.lt,Darbo laikas,https://rrr.lt/autoezeruona,
48415,"Autofoma, UAB","Vingio g. 2L, Marijampolė",251126070,LT100001696314,+37068545577,autodalys.tomas@gmail.com,Darbo laikas,https://rrr.lt/autofoma,
48149,"IRON MVB, UAB","Parko g. 1, Jasonys, Utenos r.",302693093,LT100006567513,+37068487719,ironmvb@gmail.com,Darbo laikas,https://rrr.lt/partcar,
47766,"DTJ dalys, UAB","Vilniaus g 35, Šiaulių kaimas",306003682,LT100015773913,+37067442017,dtjdalys@gmail.com,Darbo laikas,https://rrr.lt/juldara,
47531,"Nabekas, UAB","Žemaitės g. 143A, Šiauliai",302734355,LT100011890312,+37061796923,nabekas@gmail.com,Darbo laikas,https://rrr.lt/nabekas,
46040,"Angaris, IĮ","Sedos g. 30, Telšiai",304975472,LT100015311817,+37069999687,angaris.auto@gmail.com,Darbo laikas,https://rrr.lt/angaris,
45452,"Individuali įmonė ""DEMONTAS""","Medenių k., Utenos r., Tujų g. 7",183861337,LT838613314,+37068648431,info@demontas.lt,Darbo laikas,https://rrr.lt/demontas,
45143,UAB Ragraunda,"Melioratorių g. 3, Padubysio k., Pakruojo r.",300918634,LT100006900518,+37068218888,ragraunda@gmail.com,Darbo laikas,https://rrr.lt/ragraunda,
45125,"UAB ""Detora""","Verslininkų g. 14, Barklainiai I km, Panevezio r. sav.",148243098,LT482430917,+37068747745,uabdetora@gmail.com,Darbo laikas,https://rrr.lt/detora,
42161,"Valvira, UAB","Stoties 28C, Utena",184207326,LT842073219,+37065010307,gerdasbertasius@gmail.com,Darbo laikas,https://rrr.lt/valvira2,
41549,"Dalių angaras, UAB","Siauruko g. 18, Šilutės r. Kuliešų km.",305609570,LT100013881718,+37068159415,edbaltva@gmail.com,Darbo laikas,https://rrr.lt/baltva,
41307,UAB FOBEKA,"Eišiškių pl. 76, Vilnius",223785170,LT237851716,+37061540390,fobeka@gmail.com,Darbo laikas,https://rrr.lt/fobeka,
40783,"Autosėkmė, UAB","Prašiškių g. 53, 7 angaras, Vilnius",301675886,LT100006310910,+37065984003,autosekme0008@gmail.com,Darbo laikas,https://rrr.lt/autosekme,
40612,"Ego motor, UAB","Seniūnų k. 1, Seniūnai",302503583,LT100005960415,+37061717182,rrr@egomotor.lt,Darbo laikas,https://rrr.lt/egomotor,
40417,UAB Kairių dalys,"Pramonės g. 5, 80114, Kairiai",306321724,LT100017034010,+37064122225,kairiudalys@inbox.lt,Darbo laikas,https://rrr.lt/kairiudalys,
39173,Edmundas Jankauskas,"Ežero g. 18, Karčemos",35902020532,LT100007775411,+37068674408,autodalys.radv@gmail.com,Darbo laikas,https://rrr.lt/jankauskas,
38321,"Mdalys, MB","Žirgų g. 4, Jotaučių kaimas",307005070,LT100018069019,+37064872820,marius.mineikis@gmail.com,Darbo laikas,https://rrr.lt/mparts,
37769,MB PROdalys,"Smalininkai, Darželio g. 6",306897606,LT100017357917,+37063051091,evaldoautodalys@gmail.com,Darbo laikas,https://rrr.lt/zvaginis,
37651,UAB Autoriko,"Vasario 16-sios g. 34, Garliava, Kauno r. sav.",142106566,LT421065610,+37067634698,autoriko@gmail.com,Darbo laikas,https://rrr.lt/riko,
37571,"Mj - auto, UAB","Elektronikos g. 24, Panevėžys",303055535,LT100007711617,+37067189892,mjauto87@gmail.com,Darbo laikas,https://rrr.lt/mjauto,
36790,"Pumex, UAB","Bijūnų g. 10, Stanaičių km. Kauno raj.",304786379,LT100012125717,+37067773722,pumexparts@gmail.com,Darbo laikas,https://rrr.lt/pumex,
36511,MB GRISKUS auto,"P. Motiekaičio g. 16, Šiauliai",305939205,LT100017633414,+37067875981,karolis.griskus@gmail.com,Darbo laikas,https://rrr.lt/griskus,
35249,"UAB ""Sigvida""","V. Čkalovo g. 33B, Šiauliai",303176832,LT100008153014,+37063130000,gvidas.lyoness@gmail.com,Darbo laikas,https://rrr.lt/sigvida,
35022,Edgaras Zybartas IV,"Aneliškė 11, 72354, Tauragės r., Aneliškės k.",1184176,LT100016176017,+37060769173,auttodalys@gmail.com,Darbo laikas,https://rrr.lt/tauvyga,
34977,"Evabana, UAB","Dubysos g. 49, Gruzdiškė Raseinių raj.",304200706,LT100010045613,+37064177222,uabevabana@gmail.com,Darbo laikas,https://rrr.lt/evabana,
34423,"Rainių autodalys, UAB","Telšių g. 2E, Rainių k.",180716030,LT807160314,+37062069468,vaidas.klimas1978@gmail.com,Darbo laikas,https://rrr.lt/rainiuautodalys,
34179,"UAB ""Remanda""","Lembudžių kaimas 5, Šakiai",300102944,LT100005372219,‎+37067487627,uab.remanda@gmail.com,Darbo laikas,https://rrr.lt/remanda,
33883,MB Memel motors,"Sandeliu g. 24-7 95107, Klaipeda",307060138,LT100017604017,+37064513137,helpmemelmotors@gmail.com,Darbo laikas,https://rrr.lt/vitkevicius,
33659,"Nodelta, UAB","Dvaro g. 10, 59326, Ašminta",302671086,LT100007155419,+37060155733,nodelta03@gmail.com,Darbo laikas,https://rrr.lt/nodelta,
32477,"V. Jokūbausko, IĮ","Gaurės g. 2M, Tauragė",179858698,LT798586917,+37068729258,virgiodalystaurage@gmail.com,Darbo laikas,https://rrr.lt/virgiodalys,
32275,"Mantliuta, UAB","Svirno g. 4, Vilnius",302462058,LT100006287014,+37061566255,mantliutarrr@gmail.com,Darbo laikas,https://rrr.lt/mantliuta,
32199,"Autodinama, UAB","Mikolaičiūnų k. 3, , Joniškio r. sav.",302629621,LT100010142615,+37063539999,autodinama@gmail.com,Darbo laikas,https://rrr.lt/autodinama,
32036,T.Krunkaičio individuali įmonė,"Sodų g. 5C, Šakiai",300597178,LT100002674813,+37069921921,sakiuautodalys@gmail.com,Darbo laikas,https://rrr.lt/sakiuautodalys,
31882,"Lairama, UAB","Kupiškio g. 36, Vyžuonėlių km., Utena",184204892,LT842048917,+37065035124,info@brcutena.lt,Darbo laikas,https://rrr.lt/brc,
31621,"Best parts, MB","Sūduvos g. 74, 69479, Sasnava",306210229,LT100016571011,+37065386190,nesrotaslt@gmail.com,Darbo laikas,https://rrr.lt/bestparts,
31489,"Autoardymas, UAB","Minsko pl. 33A-2A, Vilnius",302602033,LT100011866511,+37068611110,Info@autoardymas.lt,Darbo laikas,https://rrr.lt/autoardymas,
31413,"Autodiras, UAB","Alyvų g 41a 37467, Panevežys",304136940,LT100009795716,+37066852242,uabautodiras@gmail.com,Darbo laikas,https://rrr.lt/autodiras,
31081,Rolando Karaliaus Individuali įmonė,"M. Veriovkinos g. 7, Vyžuonėlės",183811658,LT100002200612,+37068664761,vyzuoneliudalys@gmail.com,Darbo laikas,https://rrr.lt/rkaraliaus,
30993,"Autoexpert, UAB","Miškininkų g. 4, Rokiškis",173181894,LT731818917,+37063329964,autoexpertrrr@gmail.com,Darbo laikas,https://rrr.lt/autoexpert,
30979,"Moodauto, MB","Dubysos g. 31C, 60105, Gruzdiškės km",306299270,LT100015893611,+37064644607,moodauto1@gmail.com,Darbo laikas,https://rrr.lt/bartkevicius,
30873,"Linas Martišius, IV","Liepų g. 85a, Klaipėda",673516,LT100016621011,+37068334323,Linasmartisius@gmail.com,Darbo laikas,https://rrr.lt/linoauto,
30272,"Bazas, UAB","Pievų g. 6, Alytus",304744106,LT100014586614,+37063888851,info@bazas.lt,Darbo laikas,https://rrr.lt/bazas,
30106,"Domauto, MB","Melioratorių g. 16A, 72109, Tauragė",306577104,LT100016939013,+37065066878,modestasgestautas@yahoo.com,Darbo laikas,https://rrr.lt/domauta,
30009,"Rimelana, UAB","V. A. Graičiūno g. 6, Vilnius",125372988,LT253729811,+37060893191,rimelana595@gmail.com,Darbo laikas,https://rrr.lt/rimelana,
29597,Dovydas Kasmauskas,"Beržų g. 12, Byčių k.",1186297,LT100017850114,+37060606115,masinos1996@gmail.com,Darbo laikas,https://rrr.lt/rkdalys,
29435,"Donvalda, MB","Raseinių g. 66, 86188, Kelmė",304037814,LT100009443314,+37069444999,pagalba@donvalda.lt,Darbo laikas,https://rrr.lt/donvalda,
28765,"Geros dalys, UAB","Skrebinų g. 9, Batėgala, 55343 Jonavos r. sav., Batėgala",305638846,LT100013883714,+37067104124,mbbmwauto@gmail.com,Darbo laikas,https://rrr.lt/gerosdalys,
28760,"Liumanta, UAB","Svirno g. 4D, Vilnius",300712335,LT100006250610,+37061400445,liutaurasbulka@gmail.com,Darbo laikas,https://rrr.lt/liumanta,
28312,"Robindalis, MB","Pievų 6a, Kutiškiai, Kutiškiai",305650535,LT100014349415,+37067608585,robindalis69@gmail.com,Darbo laikas,https://rrr.lt/robindalis,
28247,"Mantas Gabšys, IV","Papilės g. 16, 81105, Romučiai, Šiaulių r.",865902,LT100018359414,+37067920655,mantasgabsyysss@gmail.com,Darbo laikas,https://rrr.lt/mantodalys,
27552,"Alinos autodalys, UAB","Girininkų g. 14, Juragių km. Kauno raj.",304435017,LT100011049510,+37067084422,alinosautodalys@gmail.com,,https://rrr.lt/alinosautodalys,Darbo laikas
27320,"Gintaras Slanys, IV","Laukų g. 11, 97335, Kūlupėnai",846614,LT100017883918,+37068231220,shrotas01@gmail.com,Darbo laikas,https://rrr.lt/slanys,
27167,MB PartAuto,"Kalvų g. 13, Narkūnai Utenos raj.",306118364,LT100015505215,+37060053537,partauto.net@gmail.com,Darbo laikas,https://rrr.lt/plotnikovas,
27014,"Dalys LT, UAB","Elektrėnų g. 8A, Kaunas",304405853,LT100010439816,+37066371222,tadasparts@gmail.com,Darbo laikas,https://rrr.lt/dalyslt,
26353,"UAB, Ovoko","Vilties g. 11, 13279, Kuprioniškės, Vilniaus r.",304401253,LT100010771516,+37068969297,lab@ovoko.com,Darbo laikas,https://rrr.lt/lab,
26149,"Kesandra Group, UAB","Gedminų g. 11, Baičių k. Klaipėdos r.",302713254,LT100007435211,+37067047501,jjovitti@yahoo.com,Darbo laikas,https://rrr.lt/kesandragroup,
25569,"Autoloma, UAB","Verslų g. 4, 68461, Mokolai, Marijampolės sav.",303445421,LT100010163517,+37069063365,Autonartas@gmail.com,Darbo laikas,https://rrr.lt/autonartas,
25529,"Autodalita, UAB","Baltarusių g. 9, 13262, Nemėžis",301538097,LT100003811510,+37060783563,bmwdalys@mpowerparts.com,Darbo laikas,https://rrr.lt/autodalita,
25472,Virginijaus Bičkaus Individuali įmonė,"Statybininkų g. 9D, Vievis",123462885,LT100014521216,+37060604000,dzipu.dalys@gmail.com,Darbo laikas,https://rrr.lt/auto4x4,
25434,"Autoaira, MB","Dariaus ir Girėno g. 121, Vilnius",305623424,LT100013635510,+37069385002,info@autoaira.lt,Darbo laikas,https://rrr.lt/autoaira,
25256,"MB ""Timuroauto""","Mateikiai 3, Kelmės r., Mateikių km",306082690,LT100015460115,+37068258569,timuroauto@gmail.com,Darbo laikas,https://rrr.lt/lukonas,
24996,"GR Baltic, MB","Vairuotojų g. 6B, 59276, Skriaudžiai",306343254,LT100016539212,+37063322899,valaiciukas20@gmail.com,Darbo laikas,https://rrr.lt/grbaltic,
24840,"UAB ""Agvilitas""","Čepurniškių g. 31, Vilniaus raj.",303109755,LT100007956418,+37067396220,uabagvilitas@gmail.com,Darbo laikas,https://rrr.lt/agvilitas,
23954,"Treila, UAB","Aerouosto g. 11, 77103, Šiauliai",145597298,LT455972917,+37068542455,treila@inbox.lt,Darbo laikas,https://rrr.lt/treila,
23808,UAB Detaparts,"Stiklo g. 10, Dievogala, Kauno r.",306250978,LT100015886316,+37062222183,detaparts@gmail.com,Darbo laikas,https://rrr.lt/girama,
23468,"UAB ""Autolinta""","Audėjų g. 5A, Alytus, Alytus",304090133,LT100009647713,+37067367476,autolinta@gmail.com,,https://rrr.lt/autolinta,Darbo laikas
23250,UAB Autodeva,"Balsku g. 31, Taurų k",179744634,LT100004703912,+37069018737,duncis2@gmail.com,Darbo laikas,https://rrr.lt/autodeva,
23239,"Baltijos prekyba, UAB","Vaduvos g. 2a, Vilnius",300543351,LT100002260919,+37068796211,info@saabvolvo.lt,Darbo laikas,https://rrr.lt/baltijosprekyba,
23165,"Dalių ekspertai, MB","Pramonės g. 7, 53285, Stanaičiai, Kauno raj.",306639310,LT100016770016,+37062536863,daliuekspertai@gmail.com,Darbo laikas,https://rrr.lt/daliuekspertai,
23143,"All Bids, MB","A. Juozapavičiaus pr. 19B, 45252, Kaunas",305707769,LT100016986812,+37064688892,ALLBIDS.LT@GMAIL.COM,Darbo laikas,https://rrr.lt/allbids,
23106,UAB Autofuroras,"Prašiškių g. 53, 7 Korpusas, Vilnius",300007204,LT100001468810,+37065984888,dalys@autofuroras.lt,Darbo laikas,https://rrr.lt/autozap,
22791,"Antorsa, UAB","Pročiūnų g. 1, 77103 Šiaulių m. sav., Šiauliai",305213293,LT100012956415,+37065554213,antorsaa3@gmail.com,Darbo laikas,https://rrr.lt/antorsa,
22776,Robertas Dobrovolskis,"Gedimino g. 30A, 70421, Kybartai",386014,LT100012108919,+37065028930,smikailionyte@gmail.com,Darbo laikas,https://rrr.lt/rdobrovolskis,
22639,UAB Vidresta,"J. Totoraičio g. 71, 46142, Kaunas",164684619,LT646846113,+37069810003,mindizk@gmail.com,Darbo laikas,https://rrr.lt/vidresta,
22604,MB Carstara,"Svirno g. 12, Eigirgala",306091668,LT100015040418,+37064684353,autoturtai@yahoo.com,Darbo laikas,https://rrr.lt/autoturtai,
22509,MB METALORA,"Vaineikių g. 34E, 97264, Darbėnai",306690283,LT100017673615,+37060956621,mbmetalora@gmail.com,Darbo laikas,https://rrr.lt/ruikis,
22382,UAB LT USA IMPORT,"A. Juozapavičiaus pr. 19B, 45252 , Kaunas",306160420,LT100015541710,+37061488882,ltusaimport@gmail.com,Darbo laikas,https://rrr.lt/import,
21817,"Automobiliukas, UAB","Sodybų g. 3C, 13277, Vilnius",303308974,LT100009531216,+37061491111,automobiliukas.rrr@gmail.com,Darbo laikas,https://rrr.lt/automobiliukas,
21811,"Kimlita, UAB","V. Bielskio g. 12A, Šiauliai 76162, Šiauliai",145507557,LT455075515,+37068526319,prekybakimlita@gmail.com,Darbo laikas,https://rrr.lt/kimlita,
21639,UAB Valdovis,"Sartu g. 15, Vilnius",302738720,LT100007068818,+37064477577,valdovis11@gmail.com,Darbo laikas,https://rrr.lt/valdovis,
21455,"Vialita, UAB","Partizanų g. 87a, Kaunas",134568669,LT345686610,+37064294800,autorecycling@autolauzynas.lt,,https://rrr.lt/vialita,Darbo laikas
21366,"UAB ""Minmara""","Moniūnų k. 4, Pakruojo r. sav",303168305,LT100008092210,+37064565894,uabminmara@gmail.com,Darbo laikas,https://rrr.lt/minmara,
21220,"JL transportas, UAB","Žardupės g. 18, 95364, Klaipėda",300823481,LT100007370314,+37066426526,jlautodalys@gmail.com,Darbo laikas,https://rrr.lt/jltransportas,
21184,"Sigitas Pilka, IV","Bliūdžių g. 21, Bliūdžiai",41273,LT100016104817,+37067025484,autodetalyna.rrr@gmail.com,Darbo laikas,https://rrr.lt/autodetalyna,
21184,Eitvilas Kalanta,"Jaunystės g. 34, Vilnius",1091322,,+37068446199,viktoras.rudenk@gmail.com,Darbo laikas,https://rrr.lt/bruklis,
21183,"Autovienetas, UAB","Svirno g. 9, 54345, Kauno r., Voškoniai",304282023,LT100013742519,+37060197270,info@autovienetas.lt,Darbo laikas,https://rrr.lt/vienetas,
21088,"Autosaulida, UAB","Basanavičiaus g. 46, Biržai",305349973,LT100014015916,+37069928835,autosaulida@gmail.com,Darbo laikas,https://rrr.lt/civas,
20980,"Autozakaras, UAB","Artojo g. 6, Klaipėda",304554007,LT100011725718,+37061558651,swedautorinka@gmail.com,Darbo laikas,https://rrr.lt/autozakaras,
20346,MB „Bariūnų dalys”,"Ramonų pl. 5, Bariūnai",306676807,LT100016991112,+37062222999,bariunudalys@gmail.com,Darbo laikas,https://rrr.lt/vilimas,
20130,"Roliuda, UAB","Melioratorių g. 2A, Pelėdnagiai",161423350,LT614233515,‪+37065664320,roliuda@gmail.com,Darbo laikas,https://rrr.lt/roliuda,
20112,"Ivan Marčenkov, IV","Kalno g. 3, 97343, Dauginčiai, Kretingos r.",1315975,,+37061568061,ivanmarcenkov206@gmail.com,Darbo laikas,https://rrr.lt/marcenkov,
20054,"Detrolita, UAB","Vilniaus g. 1, Raseiniai",305818680,LT100014959315,+37064351143,uabdetrolita@gmail.com,Darbo laikas,https://rrr.lt/detrolita,
20053,"Jotautas, UAB","Pėžaičių g. 15, Pėžaičiai",302580761,LT100017111411,+37060808155,vidunoauto@gmail.com,Darbo laikas,https://rrr.lt/jotautas,
19939,"Vygie, UAB","Europos pr. 77, Kaunas",302643902,LT100006974511,+37068465735,vgauto2011@gmail.com,Darbo laikas,https://rrr.lt/vygie,
19795,"Litmėja, UAB","K. Donelaičio g. 70, 78120, Šiauliai",145326966,,+37068664641,andriulisarnas@gmail.com,Darbo laikas,https://rrr.lt/litmeja,
19668,UAB Autofoma,"Kumelionių g. 32, Marijampolė",251126070,LT100001696314,+37065506665,tado.autodalys@gmail.com,Darbo laikas,https://rrr.lt/autofoma2,
19596,"Detaja, UAB","P. Katiliaus g. 24B, Katiliškiai",305175412,LT100015249616,+37064965599,detajarrr@gmail.com,Darbo laikas,https://rrr.lt/detaja,
19452,"Automobilių grupė, UAB","H. ir O. Minkovskių g. 134, Kaunas",302541160,LT100008428910,+37061024757,autogrupekaunas@gmail.com,Darbo laikas,https://rrr.lt/agrupe,
19384,Fortunatas Karvelis,"Vytauto g. 2, 28370, Vyžuonos",909624,,+37062947602,forkarvelis98@gmail.com,Darbo laikas,https://rrr.lt/forteirdo,
19335,"Olymp Group, UAB","Vilniaus g. 18A, 13116, Mickūnai",305970649,LT100015419718,+37064800005,arturas9000@gmail.com,Darbo laikas,https://rrr.lt/olympgroup,
19281,"Ulas Auto, UAB","Lozoraičio g.25, 53231, Garliava",305487682,LT100014735310,+37067697655,uab.ulasauto@gmail.com,Darbo laikas,https://rrr.lt/ulasauto,
19190,"A.Dilbos, IĮ","Dariaus ir Girėno g. 125, Vilnius",123394231,LT233942314,+37068624487,autodilbarrr@gmail.com,Darbo laikas,https://rrr.lt/autodilba,
19068,"Gabis, UAB","Kaimelės g. 197, Kaunas",303031089,LT100007842714,+37066827123,parts@gabis-transport.eu,Darbo laikas,https://rrr.lt/gabis,
18972,"Judesta, UAB","Savanorių pr. 174R, Vilnius",303067046,LT100007783614,+37061130009,naudotos@judesta.lt,Darbo laikas,https://rrr.lt/judesta,
18877,"Automindeta, UAB","Rudiškių g. 3, Rudiškių km.",151021556,LT100015343411,+37065403056,automindeta1@gmail.com,Darbo laikas,https://rrr.lt/automindeta,
18539,"RIVA Parts, UAB","Jėgainės g. 6, 52490, Kaunas",305975144,LT100014666717,+37060199204,rivaparts@gmail.com,Darbo laikas,https://rrr.lt/rivaparts,
18217,"Capatrans, UAB","Beržyno g. 10, Krucių k.",305660013,LT100013598612,+37066571966,capatransuab@gmail.com,Darbo laikas,https://rrr.lt/capatrans,
18034,Greta Čebatarauskaitė,"Nevėžio g. 44, 54320, Vilkėnai",1196016,,+37067508276,vg.autopart@gmail.com,Darbo laikas,https://rrr.lt/vgautopart,
17866,UAB Balting,"R. Kalantos g. 2A, 5 angaras, Kaunas",302853740,LT100007110610,+37065633290,balting.info@gmail.com,Darbo laikas,https://rrr.lt/balting,
17517,UAB Nobukas,"Žalioji g. 31, 39200 , Girsūdai",305602024,LT100014336716,+37060926900,autoamerikiete@gmail.com,Darbo laikas,https://rrr.lt/nobukas,
17488,"Emonton, MB","Kėdainių g. 4, Kaunas 47181, Kaunas",304947900,LT100012074012,+37063020373,Emontonparts@gmail.com,Darbo laikas,https://rrr.lt/emonton,
17466,"Forum LT, UAB","Raudondvario pl. 242B, Kaunas",303482900,LT100009348416,+37069559300,ebayfmlt@gmail.com,Darbo laikas,https://rrr.lt/forumlt,
17420,"Autovera, UAB","Šiaulių gatvė 76, Gustonys",168661653,LT686616515,+37065341173,autovera.bmw@gmail.com,Darbo laikas,https://rrr.lt/autovera,
17336,"Darbai su garantija, UAB","Deltuvos g. 33C, Ukmergė",304450503,LT100010685318,+37064972948,darbaisugarantija@gmail.com,Darbo laikas,https://rrr.lt/dsg,
17021,"Anda, UAB","Drobės g. 37, Kaunas",133570375,LT335703716,+37066366644,labas@pasiimk.lt,Darbo laikas,https://rrr.lt/anda,
16924,"Marius Kasparavičius, IV","Turmanto g. 49, 32134, Zarasai",1171977,,+37060084651,audia83@inbox.lt,Darbo laikas,https://rrr.lt/mpparts,
16856,Nina Grigaravičienė,"Ukmergės g. 24A, Bukonys",993703,,+37067512777,dalysjonava@gmail.com,,https://rrr.lt/lavaldas,Darbo laikas
16805,Vidas Barkauskas,"Kalno g. 12A, 72123, Kęsčiai",536938,,+37063964544,vidaskesciai@gmail.com,Darbo laikas,https://rrr.lt/vidodalys,
16794,"UAB ""BENGINA""","Žarijų g. 2A, 3 korpusas, Vilnius",123871540,LT238715418,+37065943050,alvydas.karsokas@gmail.com,Darbo laikas,https://rrr.lt/bengina,
16602,"Dalersa, UAB","Ukrainiečių g. 57-102, Vilnius",303005404,LT100007692516,+37060326100,uab.dalersa@gmail.com,Darbo laikas,https://rrr.lt/dalersa,
16509,MB Vmlauto,"Pramonės g. 3 K5, Šilutė",307109005,LT100017624917,+37067238378,info@naudotosdalys.com,Darbo laikas,https://rrr.lt/vmlauto,
16420,"Baltic Era, MB","Ovos g. 8, 53409, Kuras, Kauno raj.",306036198,LT100015928012,+37063910663,vadyba@balticera.lt,Darbo laikas,https://rrr.lt/balticera,
16128,"Aldparta, UAB","Plento g. 2C, Kairiai",306386259,LT100016975817,+37067265388,Aldasarmp@gmail.com,Darbo laikas,https://rrr.lt/aldasarmp,
15911,MB Abra auto,"Mokolų g. 6, Marijampolė",307106226,LT100017625918,+37065266566,mbabraauto@gmail.com,Darbo laikas,https://rrr.lt/abraitis,
